subject,loocv_acc
S01,0.6600
S02,0.9400
S03,0.6200
S04,0.7800
S05,0.4400
S06,0.4600
S07,0.7800
S08,0.7200
S09,0.8800
S10,0.5600
S11,0.6800
S12,0.6000
S13,0.8000
S14,0.4600
S15,0.4600
S16,0.5800
S17,0.4600
S18,0.6200
S19,0.6800
S20,0.5000
S21,0.6400
S22,0.7000
S23,0.4600
S24,0.5400
S25,0.9200
S26,0.5000
S27,0.8400
