subject,loocv_acc
S01,0.5200
S02,0.8600
S03,0.5200
S04,0.8000
S05,0.4800
S06,0.6400
S07,0.6200
S08,0.6000
S09,1.0000
S10,0.7400
S11,0.5400
S12,0.9600
S13,0.8600
S14,0.6600
S15,0.7800
S16,0.5400
S17,0.7400
S18,0.8400
S19,0.5200
S20,0.7400
S21,0.8600
S22,0.9400
S23,0.5200
S24,0.6600
S25,0.9400
S26,0.6600
S27,0.8400
