subject,loocv_acc
S01,0.6800
S02,0.9400
S03,0.5000
S04,0.7600
S05,0.5600
S06,0.4600
S07,0.6800
S08,0.4800
S09,0.9400
S10,0.7800
S11,0.8200
S12,0.6200
S13,0.8600
S14,0.4800
S15,0.4400
S16,0.7800
S17,0.4200
S18,0.6400
S19,0.6400
S20,0.5400
S21,0.5200
S22,0.7000
S23,0.6200
S24,0.5400
S25,0.9000
S26,0.5000
S27,0.8000
