subject,loocv_acc
S01,0.7400
S02,0.9200
S03,0.4800
S04,0.8600
S05,0.7400
S06,0.5600
S07,0.8200
S08,0.5800
S09,0.9800
S10,0.5200
S11,0.7200
S12,0.9200
S13,0.5600
S14,0.8200
S15,0.6000
S16,0.4800
S17,0.4800
S18,0.8000
S19,0.5000
S20,0.5600
S21,0.6800
S22,0.8600
S23,0.4600
S24,0.7400
S25,0.8000
S26,0.8000
S27,0.7000
