subject,loocv_acc
S01,0.5000
S02,0.8400
S03,0.5600
S04,0.8800
S05,0.5200
S06,0.6600
S07,0.8200
S08,0.5600
S09,0.9400
S10,0.4600
S11,0.5400
S12,0.9200
S13,0.9600
S14,0.5400
S15,0.8200
S16,0.6400
S17,0.5600
S18,0.9000
S19,0.5800
S20,0.6000
S21,0.8000
S22,0.8600
S23,0.5400
S24,0.7000
S25,0.9000
S26,0.8800
S27,0.9200
