subject,accuracy
S01,0.4800
S02,0.6200
S03,0.5000
S04,0.6400
S05,0.3600
S06,0.6200
S07,0.6400
S08,0.6600
S09,0.0000
S10,0.6000
S11,0.5200
S12,0.7600
S13,0.5000
S14,0.5000
S15,0.5200
S16,0.5600
S17,0.5800
S18,0.6200
S19,0.5000
S20,0.6600
S21,0.6200
S22,0.6800
S23,0.5800
S24,0.5000
S25,0.6400
S26,0.1800
S27,0.3800
