subject,accuracy
S01,0.5800
S02,0.6000
S03,0.5000
S04,0.2800
S05,0.4800
S06,0.6000
S07,0.5400
S08,0.7000
S09,0.1000
S10,0.5400
S11,0.5600
S12,0.4800
S13,0.3600
S14,0.4600
S15,0.3800
S16,0.5000
S17,0.4000
S18,0.5200
S19,0.6000
S20,0.4800
S21,0.6000
S22,0.5000
S23,0.5000
S24,0.5200
S25,0.5400
S26,0.7400
S27,0.4800
