subject,accuracy
S01,0.4800
S02,0.5200
S03,0.5000
S04,0.5800
S05,0.5600
S06,0.4200
S07,0.3200
S08,0.4600
S09,0.3800
S10,0.5200
S11,0.7200
S12,0.6000
S13,0.6400
S14,0.4400
S15,0.5200
S16,0.5000
S17,0.6000
S18,0.4600
S19,0.4000
S20,0.5200
S21,0.6400
S22,0.5400
S23,0.5600
S24,0.3600
S25,0.6400
S26,0.4200
S27,0.5000
