subject,accuracy
S01,0.3600
S02,0.4600
S03,0.5600
S04,0.1400
S05,0.7200
S06,0.5600
S07,0.5400
S08,0.4200
S09,0.2400
S10,0.5400
S11,0.3800
S12,0.4200
S13,0.4800
S14,0.5600
S15,0.5000
S16,0.4600
S17,0.6200
S18,0.5200
S19,0.6400
S20,0.5400
S21,0.5000
S22,0.3400
S23,0.4200
S24,0.3800
S25,0.4400
S26,0.3400
S27,0.4400
