subject,accuracy
S01,0.5600
S02,0.5200
S03,0.5200
S04,0.5000
S05,0.7600
S06,0.5200
S07,0.5400
S08,0.4200
S09,0.4800
S10,0.5000
S11,0.5000
S12,0.6000
S13,0.5200
S14,0.4400
S15,0.5200
S16,0.5000
S17,0.5200
S18,0.6400
S19,0.6000
S20,0.4600
S21,0.4600
S22,0.4200
S23,0.4800
S24,0.4600
S25,0.5000
S26,0.4600
S27,0.4200
